"Date","Price","Open","High","Low","Vol.","Change %"
"2024-01-01","44,183.4","42,272.5","44,187.0","42,196.7","36.30K","4.52%"
"2023-12-31","42,272.5","42,141.6","42,878.8","41,971.4","35.58K","0.32%"
"2023-12-30","42,136.7","42,074.7","42,592.2","41,527.3","35.18K","0.15%"
"2023-12-29","42,072.4","42,581.1","43,108.0","41,459.0","60.98K","-1.19%"
"2023-12-28","42,581.1","43,446.5","43,782.6","42,309.3","49.84K","-1.99%"
"2023-12-27","43,446.5","42,514.3","43,676.7","42,115.3","50.10K","2.20%"
"2023-12-26","42,513.3","43,579.9","43,594.9","41,796.6","56.03K","-2.44%"
"2023-12-25","43,578.5","42,982.0","43,792.7","42,745.3","32.67K","1.39%"
"2023-12-24","42,981.5","43,710.4","43,935.7","42,748.5","30.86K","-1.67%"
"2023-12-23","43,710.4","43,968.9","43,994.6","43,325.7","21.29K","-0.59%"
"2023-12-22","43,968.9","43,865.9","44,394.6","43,419.3","44.50K","0.23%"
"2023-12-21","43,865.9","43,660.3","44,241.8","43,310.2","48.96K","0.47%"
"2023-12-20","43,662.8","42,259.5","44,278.7","42,217.2","70.19K","3.32%"
"2023-12-19","42,259.3","42,659.7","43,473.3","41,842.7","55.29K","-0.94%"
"2023-12-18","42,659.7","41,369.1","42,728.0","40,554.0","61.58K","3.12%"
"2023-12-17","41,368.7","42,271.7","42,413.2","41,276.9","35.46K","-2.14%"
"2023-12-16","42,271.7","41,929.0","42,690.3","41,698.2","30.11K","0.82%"
"2023-12-15","41,929.0","43,025.2","43,080.7","41,697.9","45.28K","-2.55%"
"2023-12-14","43,025.9","42,886.3","43,392.7","41,591.2","59.15K","0.33%"
"2023-12-13","42,884.5","41,487.0","43,417.5","40,649.3","63.11K","3.37%"
"2023-12-12","41,487.0","41,256.1","42,070.9","40,691.5","57.04K","0.56%"
"2023-12-11","41,256.1","43,791.0","43,806.3","40,277.1","105.19K","-5.79%"
